Metric,2023,2024,2025,2026,2027,2028,2029,2030
ASHP (air source heat pump),292,394,486,600,733,895,1093,1270
Coal,20,19,18,17,15,13,10,10
Dual fuel (mineral & wood),13,18,24,33,49,66,98,140
Electric,326,419,537,690,786,886,960,1019
LPG,81,77,74,70,67,58,42,30
Oil,550,523,483,416,358,302,213,129
Smokeless fuels,10,12,13,15,18,21,23,25
Biomass,5,7,9,10,12,13,15,17
Community scheme,4,5,6,7,9,11,13,17
Electric storage heater,735,665,596,503,433,337,262,204
GSHP (ground source heat pump),4,5,7,10,13,18,24,33
