Heating method,2023
Domestic Gas Oil  / red diesel ,1885671
Commercial  Gas Oil / red diesel,27783176
"Domestic LPG (LPG, propane and butane)",2235244
"Commercial LPG (LPG, propane and butane)",3509456
Kerosine - domestic,15885201
Kerosine - commercial ,28913939
Electricity - domestic -,23997924
Electricity - commercial -,18985699
Vehicles ((Unloaded) Petrol etc.),19426703
Public transport - buses,2464334
Public transport - ferries (Ardrossan + Claonaig),45434223
"Biomass (Wood (logs etc., chips)",6531874
Fermentation,434
