Metric,2023,2024,2025,2026,2027,2028,2029,2030
Domestic Gas Oil  / red diesel ,1885671,1706226,1543857,1396939,1264003,1143717,1034878,936397
Commercial  Gas Oil / red diesel,27783176,25139257,22746941,20582283,18623620,16851348,15247730,13796717
"Domestic LPG (LPG, propane and butane)",2235244,2022532,1830063,1655909,1498329,1355744,1226728,1109989
"Commercial LPG (LPG, propane and butane)",3509456,3175487,2873300,2599869,2352459,2128593,1926030,1742744
Kerosine - domestic,15885201,14373524,13005703,11768046,10648169,9634861,8717983,7888357
Kerosine - commercial ,28913939,26162414,23672731,21419973,19381593,17537190,15868306,14358237
Electricity - domestic -,23997924,29311131,35800696,43727068,53408362,65233121,79675914,97316381
Electricity - commercial -,18985699,23189185,28323335,34594199,42253450,51608481,63034741,76990806
Vehicles ((Unloaded) Petrol etc.),19426703,17578008,15905239,14391656,13022108,11782891,10661601,9647015
Public transport - buses,2464334,2229822,2017626,1825624,1651892,1494694,1352455,1223752
Public transport - ferries (Ardrossan + Claonaig),45434223,50212582,55493485,61329786,67779896,74908370,82786552,91493290
"Biomass (Wood (logs etc., chips)",6531874,7978049,9744411,11901850,14536953,17755474,21686585,26488055
Fermentation,434,530,647,791,966,1180,1441,1760
